company_id,company_name,broad_sector,cluster_id,cluster_name,distance_from_centroid
TITAN,"Titan Company Ltd
",Consumer Discretionary,0,High-Quality Compounders,0.4497
TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare,0,High-Quality Compounders,0.4246
TRENT,Trent Ltd,Consumer Discretionary,0,High-Quality Compounders,0.2153
TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,0,High-Quality Compounders,0.2674
ULTRACEMCO,,,0,High-Quality Compounders,0.2091
UNIONBANK,,,0,High-Quality Compounders,0.2091
UNITDSPR,,,0,High-Quality Compounders,0.2091
VBL,,,0,High-Quality Compounders,0.2091
VEDL,,,0,High-Quality Compounders,0.2091
WIPRO,,,0,High-Quality Compounders,0.2091
ZOMATO,,,0,High-Quality Compounders,0.2091
ZYDUSLIFE,,,0,High-Quality Compounders,0.2091
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,1,Defensive Dividend Payers,0.0529
